Query Execution Results


Results for salaries_1MB.db:

Query 1:
                  Nicholas Garcia
                   Barbara Wright
                    Ernest Oliver
                    Kelli Francis
                    Jenna Russell
                  Nancy Velazquez
                   Tamara Daniels
                   Ashley Sampson
                      Ariel Smith
               Stephanie Williams
                     Martha Lyons
                    Henry Andrade
                     Nicole Davis
                      Diana Noble
                 Annette Valencia
                    Martin Benton
                     Timothy Rich
                       Brent Dean
                     Robert Woods
                 Sinchan Samajdar
                    Jason Hampton
                     Michael Hunt
                      Paul Lawson
                    Thomas Daniel
                     Nathan Perez
                      Jacob Davis
                Rakshit Deshpande
                     Gary Ballard
                    Joseph Ashley
                     Vinay Shetye
                     Emma Burgess
                    Scott Mcgrath
                    Kevin Simmons
                      Lisa Graham
                  Brett Alexander
                        John Ward
                Elizabeth Edwards
                 Natalie Lyons MD
                      James Woods
                       Donna West
                     Scott Jordan
                    Russell Bryan
                   Amanda Jackson
                 Connor Rodriguez
                     Thomas Miles
                     Tracy Burton
                      Erin Taylor
                Dr. Monica Rogers
                Christina Daniels
                    Melissa Clark
                   Michael Oliver
                     Robert Baker
                 Jonathan Simpson
                    Travis Watson
                    Matthew Noble
                   Thomas Edwards
                    Jason Jackson
                      Scott Smith
                    Allen Sanchez
                      Luis Hoover
                     Donald Ortiz
                  Cynthia Johnson
                        Mark Bush
                     David Cooper
                Mr. Brandon Estes
                  Whitney Leonard
                  Kristina Jensen
                 Beverly Gonzales
                    Harry Chapman
                       Tracy Koch
                    Andrew Arnold
                    Jordan Reeves
                   Michael Glover
                     Sean Freeman
                  Zachary Jackson
                    Danielle Cook
                      Amy Johnson
                 Samantha Johnson
                      Pamela Moss
                        Lisa Reid
                   Kayla Williams
                     Joshua Baker
                   Angelica Chang
                        Jon Cohen
                    Olivia Carter
                 Micheal Harrison
                    Autumn Chavez
                      Gina Barker
                  Richard Cole MD
                       Ross Walsh
                     Sherry Moran
                      Renee Hayes
                William Alexander
                       Cheryl Lee
                   Jessica Powell
                Timothy Hernandez
                     Sergio Berry
                    James Sellers
                Brittany Cummings
              Jessica Robbins PhD
                    April Walters
                        Mark Cole
                       Dawn James
                    Allison Carey
                     Charles Rice
                       Adam Brown
                   Cynthia Miller
                 Nicholas Burnett
                  Michael Jackson
                   Margaret Lewis
                   Scott Williams
                       Maria Rich
                   Edward Delgado
                 Justin Patel DVM
                 Daniel Hernandez
                      Mark Massey
                    Sean Bradford
                     Laura Bender
                   Katherine Page
                     Daniel Davis
                Brittney Gonzalez
                  Patricia Miller
                    Zachary Stout
                     Carmen Adams
                     Dustin Leach
                 Dr. Jeffrey Ryan
                     Edward Smith
                    Melissa Price
                    Nathan Steele
                    Michelle Owen
                     Susan Wright
                       Lee Horton
                     Lauren Clark
                     Shawn Ramsey
                        Shawn Fry
                   Jennifer Davis
                    James Ferrell
                      Alyssa Bush
                     Cynthia Mann
                    Emily Lindsey
                Melanie Alexander
                      Stephen Lee
                    Richard Frost
                       Louis Beck
                       David Park
                     Melissa Dunn
                      Julie Clark
                      Erin Martin
                 Richard Franklin
                    Stephanie Orr
                   Jennifer Irwin
                   Nicole Johnson
               Bradley Strickland
                  Sabrina Bennett
                       Tony Clark
                  Timothy Jackson
                    Joseph Walker
                       Alice Cook
                    Sarah Morales
                     Sandra Smith
                   Sherry Barrett
                       Kyle Horne
                       Eric Lopez
                     Faith Flores
                Rachel Richardson
                 Alexandra Rogers
                      Thomas King
               Jacqueline Griffin
                  Christine Salas
                   Mary Bryan DVM
                  Nicholas Spence
                    Raymond Hines
                     Dennis Davis
                  Peter Fernandez
                     Lisa Carroll
                       Amanda Lee
                      Alex Burton
                   Suzanne Walker
                   Katrina Farmer
                   Karen Morrison
                   Annette Torres
                    Nathan Garcia
                William Robertson
                      Pamela West
                        Zoe Booth
                  Claudia Hoffman
                     Lisa Salazar
               Crystal Arnold DDS
               Danielle Armstrong
                   Roberto Walker
                     Brooke Brown
                     Sheryl Smith
                     Ellen Powell
                Ms. Debra Ramirez
                     Daniel Riley
                Jordan Villarreal
                    Michael Duffy
                  Nathaniel Quinn
                     Linda Riddle
                      Ashley Long
                     Donna Atkins
                  Brandon Aguirre
                   Brittany Wells
                      Diana Knapp
                  Brandon Bradley
                     Shelby Jones
                    Andrea Barnes
                    Ruben Jackson
                  Veronica Martin
                Christopher Perez
                       Erin Banks
                    Wanda Sweeney
                  Katrina Spencer
                     Anne Nichols
                  Steven Reynolds
                   Danielle Perry
                    Matthew Smith
                     Holly Martin
                    Michael Baker
                 Chelsey Chambers
                      Robert Howe
               Stephanie Mitchell
                   William Wright
                   Bruce Harrison
                      Shawn Hogan
                       Amy Wilson
                   Nicole Hickman
                       Ryan Smith
                     Katelyn Tate
                 Robert Mcconnell
                   Jennifer Miles
                   Patrick Miller
                    Pamela Stokes
                      Emily Smith
                    Carrie Mullen
                     Ann Jennings
                      Hannah Mayo
                     William Kent
                     Shawn Morrow
                      Wendy James
                   Valerie Harvey
                     Karl Edwards
                      Kendra King
                  Travis Whitaker
                      Perry Casey
                    Vickie Flores
                      Todd Garcia
                  Corey Alexander
                 Christopher Lane
                 Brittany Roberts
                      Joyce Roman
                    Charles Young
                      Natalie Cox
                     Victor Wolfe
                      Amanda Dunn
                     Russell Owen
                    Randall Smith
                     Marcus Walls
                     Deborah Frye
                   Elaine Mueller
                    Anthony Booth
                    Rhonda Thomas
                    Robert Norris
                     Sara Raymond
                     Charles Ward
                   Regina Johnson
                 Alexander Graham
                     Bruce Clarke
                   Maureen Greene
                  Ricky Alexander
                     Michael Ryan
                    William Smith
                  Matthew Gardner
               Christopher Hanson
                     Ryan Johnson
                   Christine Todd
                Christopher Huang
                    Howard Walker
                 Mr. Devon Martin
                   Julia Gonzalez
                    Valerie Gross
                       Kelly Snow
                 Mr. Jeremy Hogan
                 Anna Oconnell MD
                 Michael Phillips
                     Kara Sampson
                        Joel Wood
                    Brianna Adams
                   Shawn Matthews
                     Dawn Kennedy
                        Julie Cox
                       Rick Smith
                      Zoe Mathews
                  Jeffery Johnson
                    Scott Acevedo
                 Benjamin Hickman
                     Joann Durham
                    Jenna Mcguire
                      John Pruitt
                   Thomas Kaufman
                   Rachel Maxwell
                     Kimberly Kim
                      Emily Moore
                 Catherine Spence
                      Marcus Kemp
                  Victoria Flores
                      Eric Garcia
                  Alicia Friedman
                Nicholas Oconnell
                  Adam Greene PhD
                    Robert Bowers
                      James Hardy
                  Miss Laura Case
                  Brianna Compton
                      Linda Cohen
                    Robert Willis
                       Dale Lyons
                       Amy Reeves
                    Russell Drake
                 Christina George
                     Ronald Lopez
                     Charles Snow
                    Daniel Taylor
                     Rachel Wolfe
                    John Jennings
                   Brittany Myers
                  Stephen Stewart
                   Kaitlin Arnold
                      Donald Wood
                 Ashley Contreras
                   Sharon Mcmahon
                     Troy Mullins
                       Linda Dean
                 Matthew Buchanan
              Christopher Johnson
                   Jaime Martinez
                    Andrew Harper
               Gary Schroeder DDS
                  Michael Morales
                   Kevin Anderson
                     Randy Carter
                        Gina Tran
                      Mike Butler
                    Brenda Wilson
                     Tiffany Chan
                    Rhonda Newman
               Catherine Williams
                  Katrina Mcgrath
                   Nicole Everett
                   Scott Peterson
                   Brittany Lewis
                     Amanda Smith
                     Timothy Cole
                      James Rivas
                      Teresa Reid
                       Mary Davis
                  Michael Aguilar
                     James Horton
                    Ashley Vaughn
                       Jorge Rice
                     Brian Monroe
                     Joseph Olsen
                  Christina Stone
                   Daniel Barnett
                   Shelia Marquez
                   Larry Harrison
                      Jacob Perez
                   Blake Marshall
                   Joseph Sampson
                     Dawn Sherman
                Suzanne Walker MD
                      Howard Neal
                      Frank Olson
Execution time: 0.003168 seconds


Query 2:
SELECT DISTINCT p.PersonName, s.SchoolName
FROM persons p, employment_records e, schools s 
WHERE p.PersonID = e.PersonID
AND e.SchoolID = s.SchoolID
AND e.Earnings > 400000
AND e.StillWorking = 'no'
                   PersonName                  SchoolName
                Amber Solomon         University of Texas
               Valerie Harvey University of Massachusetts
                 Robert Moran       University of Florida
                Amber Hartman University of Massachusetts
           Siddharth Munagala University of Massachusetts
         Sriram Kumar Marella University of Massachusetts
                 Marc Alvarez       University of Florida
               Nicholas Bryan       University of Florida
                   Tammy Beck      University of Illinois
           Veronica Blackburn         University of Texas
                  Mark Graham         University of Texas
             Mackenzie Norman         University of Texas
              Kayla Stevenson         University of Texas
            Jonathan Williams University of Massachusetts
                 Shannon Rowe    University of California
                 Chris Tucker      University of Illinois
                Eileen Hodges      University of Illinois
      Phani Krishna Dandamudi University of Massachusetts
                   Diana Byrd         University of Texas
                    Tim Rioux University of Massachusetts
                Jenna Russell University of Massachusetts
                  Lisa Miller      University of Illinois
                  Henry Boyer University of Massachusetts
                Nicole Phelps         University of Texas
                   Anna Young       University of Florida
                 Donna Willis         University of Texas
             Benjamin Hickman    University of California
                Susan Jackson       University of Florida
                 Lidiya Mathi University of Massachusetts
                Jason Gardner    University of California
               Jessica Arnold    University of California
              Antonio Ramirez      University of Illinois
              Antonio Johnson      University of Illinois
              Stephanie Russo       University of Florida
           Stephanie Williams         University of Texas
                Troy Williams         University of Texas
            Jessica Alexander      University of Illinois
                  Marc Mathis         University of Texas
             Jordan Gutierrez    University of California
               Charles Mercer    University of California
                      Don Lee University of Massachusetts
             Daniel Castaneda         University of Texas
            Christine Calhoun         University of Texas
               Rachael Rogers       University of Florida
               Abhinaya Thota University of Massachusetts
            Derrick Rodriguez      University of Illinois
            Michele Hernandez    University of California
              Samuel Davidson University of Massachusetts
                Johnny Rhodes    University of California
                Andrea Norris         University of Texas
              Hrushitha DARNA University of Massachusetts
                  April Jones         University of Texas
              Richard Robbins    University of California
                 Jason Golden         University of Texas
                 Brooke Grant       University of Florida
                 Samantha Fox       University of Florida
                 Tara Nielsen       University of Florida
                   Sara Smith         University of Texas
               Micheal Harris       University of Florida
                 Crystal Hill    University of California
                  Tracy White         University of Texas
                 Troy Mullins       University of Florida
                  Aimee Sharp    University of California
                 Julie Nelson         University of Texas
             Zachary Mcdowell      University of Illinois
         Nandith Reddy Gangam University of Massachusetts
              Brittany Hughes    University of California
                 Erica Mcneil         University of Texas
                 Brian Joseph         University of Texas
                Tyler Bennett      University of Illinois
               Claudia Dillon         University of Texas
                  Tyler Silva    University of California
                 Justin Burns       University of Florida
                William Tyler       University of Florida
               Brian Anderson      University of Illinois
            Elizabeth Ramirez    University of California
               Tamara Daniels      University of Illinois
    Vatsal Alpeshkumar Pandya University of Massachusetts
                 Cynthia Frey       University of Florida
                  Aaron Walsh    University of California
              Joshua Williams      University of Illinois
              Natalie Vasquez    University of California
                Brent Charles       University of Florida
               Danielle Jones University of Massachusetts
             Mr. Devon Martin       University of Florida
                   Edward May         University of Texas
                  Debra Mccoy    University of California
            Jennifer Campbell      University of Illinois
                Amanda Riddle         University of Texas
                   Lisa Grant         University of Texas
                  James Huang University of Massachusetts
               Karen Morrison      University of Illinois
                Sharan Shetty University of Massachusetts
                 Amanda Allen    University of California
                Kristin Woods       University of Florida
                 Ashley Woods      University of Illinois
                William Simon         University of Texas
             Alexandra Morris    University of California
                   Edward Fox      University of Illinois
        Dr. Richard Kelley MD       University of Florida
               Michael Wright       University of Florida
              Emily Jefferson         University of Texas
                  Jamie Gross      University of Illinois
                Kelly Rodgers       University of Florida
              Ashley Copeland         University of Texas
                Russell Brown       University of Florida
                  Eric Brewer       University of Florida
       Sahithi Gladies Dasari University of Massachusetts
                Nancy Baldwin       University of Florida
             Candace Anderson       University of Florida
                 Daniel Craig    University of California
             Austin Donaldson       University of Florida
                Anita Simpson       University of Florida
                 Robert Meyer    University of California
       Santhoshi Priya Sunchu University of Massachusetts
              Michael Bentley    University of California
             Jeremiah Jackson         University of Texas
                 Martha Green       University of Florida
            Alexander Goodwin    University of California
                   Ian Daniel    University of California
Manikanta Sai Surya Undamatla University of Massachusetts
               George Coleman      University of Illinois
            Gabriella Coleman         University of Texas
                Zachary Evans      University of Illinois
                Patrick Cohen       University of Florida
              Gregory Roberts       University of Florida
                  Anne Nguyen University of Massachusetts
                 Laurie Perez    University of California
               Christy Grimes         University of Texas
                  Jacob Smith         University of Texas
                 Michael Wood       University of Florida
             Courtney Barrett         University of Texas
            Nathaniel Mueller         University of Texas
               Angela Morales      University of Illinois
                Richard Berry         University of Texas
        Alexandria Montgomery    University of California
             Leslie Hernandez         University of Texas
                    Ann Rocha    University of California
                  Lisa Pineda      University of Illinois
           Gabriel Strickland      University of Illinois
               Jonathan Brown         University of Texas
        Pavan Kumar Gummuluru University of Massachusetts
      Sushmitha Jagdish Gowda University of Massachusetts
                   Mark James       University of Florida
                  Gina Barber    University of California
              Brandon Aguirre         University of Texas
                 Alisha Boyer         University of Texas
                    April Roy         University of Texas
                Taylor Cannon University of Massachusetts
                Brenda Lawson    University of California
       Vikas Reddy Kothapalli University of Massachusetts
            Victoria Anderson University of Massachusetts
               Brett Anderson    University of California
         Mr. Justin Jones Jr. University of Massachusetts
                Kathleen Kerr      University of Illinois
                  Brian Bates         University of Texas
                  Robin Bates         University of Texas
                   Eric Faith University of Massachusetts
                    Tony Wolf       University of Florida
                Rebecca Brown University of Massachusetts
                   Kim Fisher      University of Illinois
               Victoria Young    University of California
                 Robert Moran      University of Illinois
               Kristi Coleman         University of Texas
                 Anna Andrews    University of California
                 Diamond Berg       University of Florida
             Jackie Henderson University of Massachusetts
                   Troy Brown      University of Illinois
           Carolyn Mccullough         University of Texas
              Sonya Schneider         University of Texas
                 Edward Jones       University of Florida
                 Megan Barnes      University of Illinois
                Lori Chandler University of Massachusetts
                 Crystal Hunt         University of Texas
                  Megan Perez      University of Illinois
                Clifford Lang    University of California
            Alejandro Sanders         University of Texas
                 Diana Harris    University of California
              Laurie Williams    University of California
                 Vanessa Hall University of Massachusetts
                    Tony Horn         University of Texas
                   Morgan Fox University of Massachusetts
                 Gloria Ellis         University of Texas
                 Michael Chan         University of Texas
                  Lisa Turner       University of Florida
               Jennifer Burns      University of Illinois
                   Sean Reyes    University of California
              Sharanya Dasoji University of Massachusetts
              Amanda Richards    University of California
                 Richard Long      University of Illinois
                Jeremy Thomas University of Massachusetts
                 Daniel Clark    University of California
                Louis Leblanc         University of Texas
                    Cody Lane      University of Illinois
                 Tara Woodard University of Massachusetts
                Robert Harris         University of Texas
               Nancy Campbell         University of Texas
              Nicholas Lucero      University of Illinois
                     Lee Ball      University of Illinois
                  Ryan Thomas    University of California
            Kristine Mcdonald    University of California
             Denise Garcia MD    University of California
               Brandon Wright      University of Illinois
                Dale Williams       University of Florida
                 Randy Massey University of Massachusetts
                Susan Spencer      University of Illinois
             Kimberly Kennedy       University of Florida
            Ms. Tamara Levine      University of Illinois
                    Bryan Fry      University of Illinois
              Patricia Porter         University of Texas
                Katie Sampson       University of Florida
                Ernest Oliver         University of Texas
               Sandra Stewart    University of California
                  Kelly Brown    University of California
                Kimberly Diaz    University of California
               Jennifer Hanna         University of Texas
                   Maria Hall         University of Texas
                  Ariel Smith University of Massachusetts
                 Logan Peters       University of Florida
             Cassandra Mcneil       University of Florida
                Riley Sanchez University of Massachusetts
                 Samuel Scott         University of Texas
              Matthew Barnett         University of Texas
                Akshaya Thota University of Massachusetts
                 Nancy George         University of Texas
                Dennis Krause       University of Florida
                 Nicole Davis    University of California
                  Diana Noble      University of Illinois
                   Aaron Levy       University of Florida
                 Cory Allison      University of Illinois
         Melissa Garrison DDS      University of Illinois
                  Amy Barrett University of Massachusetts
                   Derek Knox       University of Florida
      Jaswanth Sai Vaddempudi University of Massachusetts
                 Kelly Turner University of Massachusetts
             Sinchan Samajdar University of Massachusetts
                Jason Hampton         University of Texas
              Katherine Perry      University of Illinois
                 Cindy Cooper      University of Illinois
             Rakesh Amadagani University of Massachusetts
              Michael Johnson       University of Florida
                 Nathan Perez         University of Texas
                  Joseph West      University of Illinois
                  Lisa Foster      University of Illinois
       Vinayak Gururaj Sonter University of Massachusetts
            Michelle Marshall         University of Texas
                Michael Jones      University of Illinois
                Joseph Ashley       University of Florida
                 John Cabrera       University of Florida
              Timothy Charles       University of Florida
                 Emma Burgess       University of Florida
                Scott Mcgrath    University of California
               Matthew Jacobs University of Massachusetts
                  Claudia Cox         University of Texas
            Jennifer Thornton    University of California
               Larry Mitchell       University of Florida
               Rachel Sanchez University of Massachusetts
                 Kelly Clarke         University of Texas
            Elizabeth Schultz       University of Florida
            Elizabeth Edwards      University of Illinois
             Natalie Lyons MD       University of Florida
              Teresa Gonzalez      University of Illinois
                   Juan Cohen       University of Florida
                  Eric Carter University of Massachusetts
              Curtis Carrillo    University of California
                   Cody Wells       University of Florida
              Whitney Leonard      University of Illinois
               Robert Padilla    University of California
                Russell Bryan       University of Florida
               Amanda Jackson University of Massachusetts
                Crystal Hardy       University of Florida
             Anthony Ferguson    University of California
                  Lisa Ortega    University of California
             Jeffrey Williams University of Massachusetts
              Jonathan Wilson       University of Florida
                 Kelly Gaines    University of California
                 Lisa Kennedy       University of Florida
                Johnny Miller         University of Texas
               Jonathan Garza University of Massachusetts
                 Nicole Mckay    University of California
            Gabriella Coleman University of Massachusetts
            Christina Daniels       University of Florida
            Christian Sherman    University of California
                 Jason Bolton      University of Illinois
                  Tricia Rice    University of California
              Jennifer Harris         University of Texas
           Tracey Delgado PhD      University of Illinois
              Alexandra Perry      University of Illinois
              Kristi Anderson       University of Florida
               Stephen Oliver      University of Illinois
                Travis Watson    University of California
                 Holly Nelson         University of Texas
                 Bonnie Brown         University of Texas
             Christine Powell    University of California
                Matthew Noble         University of Texas
                     Mark Lee University of Massachusetts
                   Carlos Cox       University of Florida
               Johnny Lambert      University of Illinois
                 Carl Mercado       University of Florida
                Jason Jackson    University of California
                  Scott Smith University of Massachusetts
                Kristen Black      University of Illinois
                Evan Morrison      University of Illinois
                  Maria Smith         University of Texas
       Dr. William Oconnor MD University of Massachusetts
                 Aaron Weaver    University of California
                  Amy Wilkins    University of California
                 Debra Wright University of Massachusetts
             Catherine Wright       University of Florida
                   Jason Reed      University of Illinois
               Rebecca Valdez    University of California
             Jessica Anderson       University of Florida
                 John Edwards University of Massachusetts
                Jessica Allen       University of Florida
               Whitney Lawson      University of Illinois
                Pamela Dalton       University of Florida
                Lisa Johnston       University of Florida
                Harry Chapman University of Massachusetts
                  Eric Thomas         University of Texas
                 Jamie Becker       University of Florida
                  Maria Boone      University of Illinois
             Beverly Gonzales       University of Florida
                 Nancy Harris University of Massachusetts
               Lisa Maldonado       University of Florida
                Andrew Arnold      University of Illinois
                   Julia King University of Massachusetts
                Maria Houston University of Massachusetts
             Theodore Johnson         University of Texas
               Sherri Chapman       University of Florida
            Jennifer Mitchell University of Massachusetts
               Mary Rodriguez    University of California
              Michael Jimenez         University of Texas
              Mandy Whitehead      University of Illinois
                Tammy Schultz    University of California
                 Sean Freeman      University of Illinois
                  Andrew Clay      University of Illinois
             Samantha Johnson    University of California
                    Lisa Reid    University of California
               Kayla Williams University of Massachusetts
              Kenneth Stewart      University of Illinois
                 Joshua Baker    University of California
                  Edwin Lopez      University of Illinois
                 Wendy Thomas       University of Florida
              Patricia Wright         University of Texas
                  Daniel Koch University of Massachusetts
                   John Patel      University of Illinois
                Jenna Mcguire         University of Texas
             Kimberly Daniels         University of Texas
                  Gary Harris    University of California
             Allison Shepherd       University of Florida
                 Blake Adkins University of Massachusetts
             Nathaniel Chavez         University of Texas
               Monica Collins      University of Illinois
               Jessica Torres University of Massachusetts
          Christine Singleton      University of Illinois
             Dr. David Walton         University of Texas
               Shannon Hinton University of Massachusetts
             Micheal Harrison    University of California
                 Stephen Barr       University of Florida
              Jonathon Cooper      University of Illinois
                  Gina Barker University of Massachusetts
              Richard Cole MD University of Massachusetts
                 Robert Mills    University of California
                Kelly Bennett       University of Florida
                  Eric Thomas       University of Florida
                Kristin White       University of Florida
                  Juan Taylor       University of Florida
                 Seth Johnson University of Massachusetts
               Preston Melton       University of Florida
                Brian Johnson      University of Illinois
                   James Diaz       University of Florida
                    Luis Lane       University of Florida
             William Williams University of Massachusetts
                    Mark Cole         University of Texas
                Heather Miles         University of Texas
                Michael Smith      University of Illinois
                Taylor Watson    University of California
                 Kristy Noble University of Massachusetts
             Nicholas Burnett    University of California
                Mary Brown MD University of Massachusetts
              Theresa Johnson    University of California
               Margaret Lewis    University of California
               Scott Williams         University of Texas
                Bonnie Arroyo University of Massachusetts
                  Brian Grant       University of Florida
               Edward Delgado       University of Florida
                 Erika Guzman      University of Illinois
             Daniel Hernandez         University of Texas
                   Karen Ross         University of Texas
               Brittany Huber    University of California
                Rebecca Smith         University of Texas
             Jessica Williams    University of California
                 Amber Ortega    University of California
            Vincent Rodriguez    University of California
                 Andrew Boone    University of California
                Devin Freeman       University of Florida
                  Chad Bowers University of Massachusetts
             Beverly Jones MD         University of Texas
                  Brandi Koch University of Massachusetts
                 Colin Taylor         University of Texas
               Sandra Parsons      University of Illinois
            Christopher Ayers    University of California
             Dr. Jeffrey Ryan      University of Illinois
             Christopher Ward         University of Texas
                 Lisa Edwards      University of Illinois
                Alyssa Garcia         University of Texas
                Nathan Steele      University of Illinois
               Monique Hebert       University of Florida
                 Daniel Frank       University of Florida
                Steven Wilson         University of Texas
                Billy Jenkins      University of Illinois
                Daniel Weaver University of Massachusetts
                Molly Pearson    University of California
               Scott Mcdonald    University of California
                 David Willis       University of Florida
                Amber Solomon      University of Illinois
                James Ferrell University of Massachusetts
                Jeffrey Olsen       University of Florida
                  Alyssa Bush         University of Texas
              Christine Morse University of Massachusetts
                 Claire Avila      University of Illinois
                 Cynthia Mann    University of California
                Angela Howard      University of Illinois
              Michael Aguilar    University of California
               Phillip Franco      University of Illinois
                Chelsea Jones University of Massachusetts
                  Diana Perez    University of California
              Daniel Hamilton University of Massachusetts
             Rebecca Oconnell         University of Texas
                  Stephen Lee    University of California
                    Eric Bean University of Massachusetts
                   Louis Beck      University of Illinois
                 Julia Warner    University of California
                   Sean Brown University of Massachusetts
            Anthony Alexander         University of Texas
                 Melissa Dunn       University of Florida
                  Julie Clark University of Massachusetts
                   Eric Brock         University of Texas
              Nathan Campbell University of Massachusetts
             Richard Franklin       University of Florida
                Gary Williams    University of California
               Jennifer Irwin University of Massachusetts
                 Emily Ingram         University of Texas
               Jessica Foster University of Massachusetts
              Eduardo Preston         University of Texas
               Stephen Coffey         University of Texas
                 Robert Ortiz    University of California
              Sabrina Bennett University of Massachusetts
                 Daniel Craig       University of Florida
                   Tony Clark       University of Florida
              Timothy Jackson University of Massachusetts
                Joseph Walker    University of California
